PS C:\Users\sacha> scoop search
Results from local buckets...

Name                               Version                                  Source Binaries
folder-marker                      4.8                                      extras
folder-painter                     1.3                                      extras
folding-at-home                    7.6.21                                   extras
fontbase                           2.18.1                                   extras
fontcreator                        14.0.0.2901                              extras
fontforge                          20230101                                 extras
foobar2000-encoders                2023-04-30                               extras
foobar2000                         2.0                                      extras
fork                               1.84.0                                   extras
forkgram                           4.8.1                                    extras
format-factory                     5.8.1.0                                  extras
foto-mosaik-edda                   7.8.23025.1                              extras
foxe                               2.4.2                                    extras
foxit-pdf-reader                   12.1.2.15332                             extras
foxit-reader                       12.1.2.15332                             extras
foxmail                            7.2.25.213                               extras
franz                              5.9.2                                    extras
freac                              1.1.7                                    extras
free-manga-downloader              1.3.3.0                                  extras
free-manga-downloader2             2.0.31.0                                 extras
free-shooter                       2.0.7                                    extras
freecad                            0.20.2-2                                 extras
freeclipboardviewer                4.0                                      extras
freecommander                      2023.880                                 extras
freedownloadmanager                6.19.1.5263                              extras
freemind                           1.0.1                                    extras
freemove                           2.1.0                                    extras
freeplane                          1.11.2                                   extras
freerapid                          0.9u4                                    extras
freetube                           0.18.0-beta                              extras
fritzing                           0.9.3b                                   extras
frostwire                          6.11.0-build-317                         extras
fscapture                          10.0                                     extras
fsresizer                          4.4                                      extras
fsviewer                           7.7                                      extras
fu                                 1.0.1                                    extras
fun                                3.6.24                                   extras
furmark                            1.34.0.0                                 extras
fvie                               1.5.0.0                                  extras
fvim                               0.3.543                                  extras
fvm                                2.4.1                                    extras
fysty                              20220202-76f785d5                        extras
g-assist                           1.1.0                                    extras
game-editor                        1.4.0                                    extras
gammy                              0.9.64                                   extras
garbro                             1.5.44.2904                              extras
gatling                            3.9.5                                    extras
gb-studio                          3.1.0                                    extras
gcc-arm-none-eabi                  12.2.rel1                                extras
gcfscape                           1.8.6                                    extras
gcloud                             431.0.0                                  extras
gdevelop                           5.1.162                                  extras
geany-plugins                      1.38                                     extras
geany                              1.38                                     extras
gedit                              3.20.1                                   extras
geekbench                          6.0.3                                    extras
geekuninstaller                    1.5.1.162                                extras
geogebra                           6.0.778.0                                extras
gephi                              0.10.1                                   extras
ghidra                             10.3-20230510                            extras
ghostwriter                        2.1.6                                    extras
gifcam                             7.0                                      extras
gimagex                            2.2.0                                    extras
gimp                               2.10.34                                  extras
gink                               1.1.1                                    extras
git-aliases                        0.3.5                                    extras
git-credential-manager-core        2.0.696                                  extras
git-credential-manager             2.1.2                                    extras
git-tower                          4.3.425                                  extras
gitahead                           2.6.3                                    extras
gitextensions                      4.1.0.16698                              extras
github                             3.2.3                                    extras
gitify                             4.3.1                                    extras
gitkraken                          9.4.0                                    extras
gitnuro                            1.2.1                                    extras
gittyup                            1.2.2                                    extras
glary-utilities                    5.205                                    extras
glazewm                            1.11.1                                   extras
glimpse                            0.2.0                                    extras
glogg                              1.1.4                                    extras
gmkvextractgui                     2.6.4                                    extras
gnucash                            5.1                                      extras
godot-manager                      0.2.1                                    extras
godot-mono                         4.0.3                                    extras
godot                              4.0.3                                    extras
gog-galaxy-plugin-downloader       0.2.3                                    extras
goland                             2023.1.2-231.9011.34                     extras
goldendict                         1.5.0-RC2-372-gc3ff15f                   extras
goneovim                           0.6.4                                    extras
google-java-format                 1.17.0                                   extras
googlechrome                       113.0.5672.127                           extras
gopher360                          0.989                                    extras
gpg4win                            4.1.0                                    extras
gpodder                            3.11.1                                   extras
gpu-z                              2.53.0                                   extras
gpxsee                             13.2                                     extras
grafana                            9.5.2                                    extras
graphicsgale                       2.09.00                                  extras
graphql-playground                 1.8.10                                   extras
grasshopper                        1.2.0                                    extras
green-tunnel                       1.8.3                                    extras
greenshot                          1.2.10.6                                 extras
grepwin                            2.0.13                                   extras
gretl                              2023a                                    extras
gridea                             0.9.3                                    extras
gridplayer                         0.5.0                                    extras
gsmartcontrol                      1.1.4                                    extras
gtk-sharp                          2.12.45                                  extras
gtools                             4.2                                      extras
guiscrcpy                          2023.1.1                                 extras
gyroflow                           1.5.0                                    extras
hack-font                          1.6.0                                    extras
hadoop-winutils                    2.8.1                                    extras
hain                               0.7.0-beta.1                             extras
hakchi2-ce                         3.9.3                                    extras
hakuneko                           6.1.7                                    extras
hammultiplayer                     0.117.38154.1909                         extras
handbrake                          1.6.1                                    extras
harmonoid                          0.3.8                                    extras
harmony                            0.9.1                                    extras
hashcheck                          2.4.0                                    extras
hasher                             4.1                                      extras
heidisql                           12.5                                     extras
hekasoft-backup-restore            0.95                                     extras
hex-editor-neo                     7.31.00.8528                             extras
hexchat                            2.16.1                                   extras
hexo-blog-client                   1.2.9                                    extras
hexo-client                        1.3.6                                    extras
hibit-startup-manager              2.6.10                                   extras
hibit-system-information           2.1.10                                   extras
hibit-uninstaller                  3.1.20                                   extras
hideul                             1.0                                      extras
hokus                              0.6.1                                    extras
homebank                           5.6.4                                    extras
honeyview                          5.50                                     extras
horcrux                            0.2                                      extras
horizon-eda                        2.4.0                                    extras
host-editor                        1.4                                      extras
hosts-file-editor                  1.2.0                                    extras
hostsman                           4.7.105                                  extras
houdoku                            2.12.2                                   extras
hourglass                          1.15.0                                   extras
hterm                              0.8.9                                    extras
http-downloader                    1.0.5.0                                  extras
httptoolkit                        1.12.6                                   extras
httrack                            3.49.2                                   extras
hwinfo                             7.46-5110                                extras
hwmonitor                          1.50                                     extras
hwp-converter                      2.0                                      extras
hxd                                2.5.0.0                                  extras
hydrogen                           1.2.0                                    extras
hydrus-network                     528                                      extras
hyper                              3.4.1                                    extras
hysteria                           1.3.4                                    extras
i2p-zero-gui                       1.20                                     extras
i2pd                               2.47.0                                   extras
icecast                            2.4.3                                    extras
icechat                            9.53                                     extras
icnsify                            2.2.6                                    extras
ida-free                           8.2                                      extras
idea-ultimate                      2023.1.2-231.9011.34                     extras
idea                               2023.1.2-231.9011.34                     extras
igdm                               3.0.4                                    extras
ignoreit                           2.4.10                                   extras
ilmerge                            3.0.41                                   extras
ilspy                              7.2.1.6856                               extras
imageglass                         8.8.4.4                                  extras
imagine                            1.1.4                                    extras
imdone                             1.31.2                                   extras
imgburn                            2.5.8.0                                  extras
imhex                              1.28.0                                   extras
imo-messenger                      1.4.8.3                                  extras
impregnate                         1.3.1                                    extras
inboxer                            1.3.2                                    extras
inbucket                           3.0.4                                    extras
infekt                             1.2.0                                    extras
infoqube                           122h                                     extras
inkscape-extension-sozi            22.03.25                                 extras
inkscape                           1.2.2_2022-12-09_732a01da63              extras
inky                               0.14.1                                   extras
inno-script-studio                 2.5.1                                    extras
inno-setup                         6.2.2                                    extras
insomnia-designer                  2020.5.2                                 extras
insomnia                           2023.2.2                                 extras
instant-eyedropper                 2.0.1                                    extras
integerscaler                      2.18                                     extras
interlink                          52.9.8194                                extras
iographica                         1.0.3                                    extras
ios-webkit-debug-proxy             1.9.0                                    extras
ipfilter-updater                   3.0.2.9-beta                             extras
ipfs-desktop                       0.28.0                                   extras
iphone-sms-backup-and-restore      2.14.40                                  extras
ipscan                             3.9.1                                    extras
irfanview-lean                     4.62                                     extras
irfanview                          4.62                                     extras
islc                               1.0.2.8                                  extras
isocreator                         1.0                                      extras
jabref                             5.9                                      extras
jackett                            0.20.4199                                extras
jadx                               1.4.7                                    extras
jameica                            2.10.4                                   extras
jami                               202304111716                             extras
jamovi                             2.3.21.0                                 extras
jasper                             1.1.2                                    extras
jaspersoft-studio                  6.20.1                                   extras
jcpicker                           5.8                                      extras
jd-gui                             1.6.6                                    extras
jd                                 1.7.1                                    extras
jellyfin-mpv-shim                  2.6.0                                    extras
jellyfin                           10.8.9                                   extras
jenv                               2.2.1                                    extras
jetaudio-basic                     8.1.8                                    extras
jetbrains-hub                      2023.1.15832                             extras
jetbrains-license-server           33965                                    extras
jetbrains-toolbox                  1.28.1.15219                             extras
jexiftoolgui                       2.0.2.0                                  extras
jigsaw                             2.2.6                                    extras
jira-cli                           1.4.0                                    extras
jitsi-meet                         2023.5.0                                 extras
jkrypto                            4.4                                      extras
jmeter-pm                          1.9                                      extras
jmeter                             5.5                                      extras
jmkvpropedit                       1.5.2                                    extras
joe                                4.6                                      extras
joplin                             2.10.19                                  extras
josm                               18721                                    extras
jpass                              1.0.1                                    extras
jpegview                           1.0.37                                   extras
jqp                                0.4.0                                    extras
jstock                             1.0.7.59                                 extras
juce                               7.0.5                                    extras
kakaotalk                          3.5.1.3469                               extras
kapow-punch-clock                  1.6.1                                    extras
kate                               23.04.1-2038                             extras
kavita                             0.7.2                                    extras
kawaii-player                      5.0.0-1                                  extras
kawanime                           0.4.3                                    extras
kcc                                5.6.2                                    extras
kdeconnect                         23.04.0-1322                             extras
kdenlive                           23.04.1                                  extras
kdiff3                             1.10.2                                   extras
kdoc-formatter                     1.5.9                                    extras
keepass-plugin-keeagent            0.13.5                                   extras
keepass-plugin-keeanywhere         2.0.3                                    extras
keepass-plugin-keepasshttp         1.8.4.2                                  extras
keepass-plugin-keepassnatmsg       2.0.16                                   extras
keepass-plugin-keepassrpc          1.14.0                                   extras
keepass-plugin-keetheme            0.10.2                                   extras
keepass-plugin-keetraytotp         0.108.0                                  extras
keepass-plugin-kpenhentryview      2.4.4                                    extras
keepass-plugin-readable-passphrase 1.3.0                                    extras
keepass-plugin-sequencer           0.1.1                                    extras
keepass-plugin-webautotype         6.8.2                                    extras
keepass-plugin-yafd                1.2.5.0                                  extras
keepass                            2.53.1                                   extras
keepassxc                          2.7.5                                    extras
keeweb                             1.18.7                                   extras
keyboard-chatter-blocker           1.16                                     extras
keyferret                          3.0                                      extras
keypirinha                         2.26                                     extras
keystore-explorer                  5.5.2                                    extras
keyviz                             1.0.6                                    extras
kibana                             8.7.1                                    extras
kicad                              7.0.2                                    extras
kid3                               3.9.3-1                                  extras
kitematic                          0.17.13                                  extras
kitty                              0.76.1.9                                 extras
kiwi-for-gmail                     3.6.2                                    extras
